Country Code,Country,Year,Series,System of trade,Value
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,"62,688"
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,"94,477"
14,Eastern Africa,2018,Imports CIF (millions of US dollars),,"95,373"
14,Eastern Africa,2019,Imports CIF (millions of US dollars),,"91,576"
14,Eastern Africa,2020,Imports CIF (millions of US dollars),,"84,312"
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,"9,499"
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,"16,297"
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,"31,652"
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,"40,742"
14,Eastern Africa,2018,Exports FOB (millions of US dollars),,"43,360"
14,Eastern Africa,2019,Exports FOB (millions of US dollars),,"41,335"
14,Eastern Africa,2020,Exports FOB (millions of US dollars),,"42,928"
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,"-8,481"
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,"-14,945"
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,"-31,036"
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,"-53,735"
14,Eastern Africa,2018,Balance imports/exports (millions of US dollars),,"-52,013"
14,Eastern Africa,2019,Balance imports/exports (millions of US dollars),,"-50,241"
14,Eastern Africa,2020,Balance imports/exports (millions of US dollars),,"-41,385"
17,Middle Africa,1995,Imports CIF (millions of US dollars),,"5,412"
17,Middle Africa,2005,Imports CIF (millions of US dollars),,"18,680"
17,Middle Africa,2010,Imports CIF (millions of US dollars),,"43,623"
17,Middle Africa,2015,Imports CIF (millions of US dollars),,"56,081"
17,Middle Africa,2018,Imports CIF (millions of US dollars),,"41,324"
17,Middle Africa,2019,Imports CIF (millions of US dollars),,"50,981"
17,Middle Africa,2020,Imports CIF (millions of US dollars),,"61,885"
17,Middle Africa,1995,Exports FOB (millions of US dollars),,"10,954"
17,Middle Africa,2005,Exports FOB (millions of US dollars),,"48,958"
17,Middle Africa,2010,Exports FOB (millions of US dollars),,"90,717"
17,Middle Africa,2015,Exports FOB (millions of US dollars),,"70,653"
17,Middle Africa,2018,Exports FOB (millions of US dollars),,"89,991"
17,Middle Africa,2019,Exports FOB (millions of US dollars),,"81,998"
17,Middle Africa,2020,Exports FOB (millions of US dollars),,"108,968"
17,Middle Africa,1995,Balance imports/exports (millions of US dollars),,"5,542"
17,Middle Africa,2005,Balance imports/exports (millions of US dollars),,"30,278"
17,Middle Africa,2010,Balance imports/exports (millions of US dollars),,"47,094"
17,Middle Africa,2015,Balance imports/exports (millions of US dollars),,"14,572"
17,Middle Africa,2018,Balance imports/exports (millions of US dollars),,"48,667"
17,Middle Africa,2019,Balance imports/exports (millions of US dollars),,"31,018"
17,Middle Africa,2020,Balance imports/exports (millions of US dollars),,"47,083"
18,Southern Africa,1995,Imports CIF (millions of US dollars),,"26,745"
18,Southern Africa,2005,Imports CIF (millions of US dollars),,"63,786"
18,Southern Africa,2010,Imports CIF (millions of US dollars),,"97,723"
18,Southern Africa,2015,Imports CIF (millions of US dollars),,"104,174"
18,Southern Africa,2018,Imports CIF (millions of US dollars),,"110,384"
18,Southern Africa,2019,Imports CIF (millions of US dollars),,"106,084"
18,Southern Africa,2020,Imports CIF (millions of US dollars),,"85,846"
18,Southern Africa,1995,Exports FOB (millions of US dollars),,"28,214"
18,Southern Africa,2005,Exports FOB (millions of US dollars),,"56,076"
18,Southern Africa,2010,Exports FOB (millions of US dollars),,"95,232"
18,Southern Africa,2015,Exports FOB (millions of US dollars),,"93,647"
18,Southern Africa,2018,Exports FOB (millions of US dollars),,"110,290"
18,Southern Africa,2019,Exports FOB (millions of US dollars),,"104,469"
18,Southern Africa,2020,Exports FOB (millions of US dollars),,"99,581"
18,Southern Africa,1995,Balance imports/exports (millions of US dollars),,"1,470"
18,Southern Africa,2005,Balance imports/exports (millions of US dollars),,"-7,711"
18,Southern Africa,2010,Balance imports/exports (millions of US dollars),,"-2,491"
18,Southern Africa,2015,Balance imports/exports (millions of US dollars),,"-10,527"
18,Southern Africa,2018,Balance imports/exports (millions of US dollars),,-94
18,Southern Africa,2019,Balance imports/exports (millions of US dollars),,"-1,615"
18,Southern Africa,2020,Balance imports/exports (millions of US dollars),,"13,735"
11,Western Africa,1995,Imports CIF (millions of US dollars),,"19,153"
11,Western Africa,2005,Imports CIF (millions of US dollars),,"44,948"
11,Western Africa,2010,Imports CIF (millions of US dollars),,"83,254"
11,Western Africa,2015,Imports CIF (millions of US dollars),,"87,237"
11,Western Africa,2018,Imports CIF (millions of US dollars),,"101,351"
11,Western Africa,2019,Imports CIF (millions of US dollars),,"106,142"
11,Western Africa,2020,Imports CIF (millions of US dollars),,"166,451"
11,Western Africa,1995,Exports FOB (millions of US dollars),,"21,750"
11,Western Africa,2005,Exports FOB (millions of US dollars),,"71,221"
11,Western Africa,2010,Exports FOB (millions of US dollars),,"113,448"
11,Western Africa,2015,Exports FOB (millions of US dollars),,"89,100"
11,Western Africa,2018,Exports FOB (millions of US dollars),,"112,452"
11,Western Africa,2019,Exports FOB (millions of US dollars),,"105,614"
11,Western Africa,2020,Exports FOB (millions of US dollars),,"146,155"
11,Western Africa,1995,Balance imports/exports (millions of US dollars),,"2,597"
11,Western Africa,2005,Balance imports/exports (millions of US dollars),,"26,273"
11,Western Africa,2010,Balance imports/exports (millions of US dollars),,"30,194"
11,Western Africa,2015,Balance imports/exports (millions of US dollars),,"1,863"
11,Western Africa,2018,Balance imports/exports (millions of US dollars),,"11,101"
11,Western Africa,2019,Balance imports/exports (millions of US dollars),,-529
11,Western Africa,2020,Balance imports/exports (millions of US dollars),,"-20,295"
19,Americas,1995,Imports CIF (millions of US dollars),,"1,178,848"
19,Americas,2005,Imports CIF (millions of US dollars),,"2,557,150"
19,Americas,2010,Imports CIF (millions of US dollars),,"3,230,657"
19,Americas,2015,Imports CIF (millions of US dollars),,"3,739,612"
19,Americas,2018,Imports CIF (millions of US dollars),,"4,173,553"
19,Americas,2019,Imports CIF (millions of US dollars),,"4,076,520"
19,Americas,2020,Imports CIF (millions of US dollars),,"3,686,658"
19,Americas,1995,Exports FOB (millions of US dollars),,"997,709"
19,Americas,2005,Exports FOB (millions of US dollars),,"1,835,325"
19,Americas,2010,Exports FOB (millions of US dollars),,"2,551,125"
19,Americas,2015,Exports FOB (millions of US dollars),,"2,827,588"
19,Americas,2018,Exports FOB (millions of US dollars),,"3,157,216"
19,Americas,2019,Exports FOB (millions of US dollars),,"3,113,492"
19,Americas,2020,Exports FOB (millions of US dollars),,"2,746,958"
19,Americas,1995,Balance imports/exports (millions of US dollars),,"-181,139"
19,Americas,2005,Balance imports/exports (millions of US dollars),,"-721,825"
19,Americas,2010,Balance imports/exports (millions of US dollars),,"-679,532"
19,Americas,2015,Balance imports/exports (millions of US dollars),,"-912,024"
19,Americas,2018,Balance imports/exports (millions of US dollars),,"-1,016,337"
19,Americas,2019,Balance imports/exports (millions of US dollars),,"-963,028"
19,Americas,2020,Balance imports/exports (millions of US dollars),,"-939,700"
21,Northern America,1995,Imports CIF (millions of US dollars),,"936,343"
21,Northern America,2005,Imports CIF (millions of US dollars),,"2,048,668"
21,Northern America,2010,Imports CIF (millions of US dollars),,"2,362,932"
21,Northern America,2015,Imports CIF (millions of US dollars),,"2,736,654"
21,Northern America,2018,Imports CIF (millions of US dollars),,"3,076,681"
21,Northern America,2019,Imports CIF (millions of US dollars),,"3,026,578"
21,Northern America,2020,Imports CIF (millions of US dollars),,"2,816,870"
21,Northern America,1995,Exports FOB (millions of US dollars),,"774,525"
21,Northern America,2005,Exports FOB (millions of US dollars),,"1,265,374"
21,Northern America,2010,Exports FOB (millions of US dollars),,"1,665,220"
21,Northern America,2015,Exports FOB (millions of US dollars),,"1,911,491"
21,Northern America,2018,Exports FOB (millions of US dollars),,"2,117,280"
21,Northern America,2019,Exports FOB (millions of US dollars),,"2,092,266"
21,Northern America,2020,Exports FOB (millions of US dollars),,"1,821,863"
21,Northern America,1995,Balance imports/exports (millions of US dollars),,"-161,818"
21,Northern America,2005,Balance imports/exports (millions of US dollars),,"-783,295"
21,Northern America,2010,Balance imports/exports (millions of US dollars),,"-697,713"
21,Northern America,2015,Balance imports/exports (millions of US dollars),,"-825,163"
21,Northern America,2018,Balance imports/exports (millions of US dollars),,"-959,401"
21,Northern America,2019,Balance imports/exports (millions of US dollars),,"-934,312"
21,Northern America,2020,Balance imports/exports (millions of US dollars),,"-995,007"
419,Latin America & the Caribbean,1995,Imports CIF (millions of US dollars),,"242,505"
419,Latin America & the Caribbean,2005,Imports CIF (millions of US dollars),,"508,481"
419,Latin America & the Caribbean,2010,Imports CIF (millions of US dollars),,"867,725"
419,Latin America & the Caribbean,2015,Imports CIF (millions of US dollars),,"1,002,958"
419,Latin America & the Caribbean,2018,Imports CIF (millions of US dollars),,"1,096,872"
419,Latin America & the Caribbean,2019,Imports CIF (millions of US dollars),,"1,049,942"
419,Latin America & the Caribbean,2020,Imports CIF (millions of US dollars),,"869,788"
419,Latin America & the Caribbean,1995,Exports FOB (millions of US dollars),,"223,184"
419,Latin America & the Caribbean,2005,Exports FOB (millions of US dollars),,"569,951"
419,Latin America & the Caribbean,2010,Exports FOB (millions of US dollars),,"885,906"
419,Latin America & the Caribbean,2015,Exports FOB (millions of US dollars),,"916,097"
419,Latin America & the Caribbean,2018,Exports FOB (millions of US dollars),,"1,039,936"
419,Latin America & the Caribbean,2019,Exports FOB (millions of US dollars),,"1,021,226"
419,Latin America & the Caribbean,2020,Exports FOB (millions of US dollars),,"925,095"
419,Latin America & the Caribbean,1995,Balance imports/exports (millions of US dollars),,"-19,321"
419,Latin America & the Caribbean,2005,Balance imports/exports (millions of US dollars),,"61,470"
419,Latin America & the Caribbean,2010,Balance imports/exports (millions of US dollars),,"18,181"
419,Latin America & the Caribbean,2015,Balance imports/exports (millions of US dollars),,"-86,861"
419,Latin America & the Caribbean,2018,Balance imports/exports (millions of US dollars),,"-56,936"
419,Latin America & the Caribbean,2019,Balance imports/exports (millions of US dollars),,"-28,716"
419,Latin America & the Caribbean,2020,Balance imports/exports (millions of US dollars),,"55,307"
29,Caribbean,1995,Imports CIF (millions of US dollars),,"20,945"
29,Caribbean,2005,Imports CIF (millions of US dollars),,"36,923"
29,Caribbean,2010,Imports CIF (millions of US dollars),,"53,245"
29,Caribbean,2015,Imports CIF (millions of US dollars),,"58,007"
29,Caribbean,2018,Imports CIF (millions of US dollars),,"55,658"
29,Caribbean,2019,Imports CIF (millions of US dollars),,"52,868"
29,Caribbean,2020,Imports CIF (millions of US dollars),,"42,260"
29,Caribbean,1995,Exports FOB (millions of US dollars),,"8,346"
29,Caribbean,2005,Exports FOB (millions of US dollars),,"21,331"
29,Caribbean,2010,Exports FOB (millions of US dollars),,"24,874"
29,Caribbean,2015,Exports FOB (millions of US dollars),,"26,475"
29,Caribbean,2018,Exports FOB (millions of US dollars),,"25,203"
29,Caribbean,2019,Exports FOB (millions of US dollars),,"26,822"
29,Caribbean,2020,Exports FOB (millions of US dollars),,"28,474"
29,Caribbean,1995,Balance imports/exports (millions of US dollars),,"-12,598"
29,Caribbean,2005,Balance imports/exports (millions of US dollars),,"-15,592"
29,Caribbean,2010,Balance imports/exports (millions of US dollars),,"-28,371"
29,Caribbean,2015,Balance imports/exports (millions of US dollars),,"-31,533"
29,Caribbean,2018,Balance imports/exports (millions of US dollars),,"-30,455"
29,Caribbean,2019,Balance imports/exports (millions of US dollars),,"-26,045"
29,Caribbean,2020,Balance imports/exports (millions of US dollars),,"-13,786"
13,Central America,1995,Imports CIF (millions of US dollars),,"87,084"
13,Central America,2005,Imports CIF (millions of US dollars),,"259,847"
13,Central America,2010,Imports CIF (millions of US dollars),,"366,171"
13,Central America,2015,Imports CIF (millions of US dollars),,"464,286"
13,Central America,2018,Imports CIF (millions of US dollars),,"552,520"
13,Central America,2019,Imports CIF (millions of US dollars),,"532,833"
13,Central America,2020,Imports CIF (millions of US dollars),,"448,271"
13,Central America,1995,Exports FOB (millions of US dollars),,"87,067"
13,Central America,2005,Exports FOB (millions of US dollars),,"233,506"
13,Central America,2010,Exports FOB (millions of US dollars),,"336,529"
13,Central America,2015,Exports FOB (millions of US dollars),,"426,846"
13,Central America,2018,Exports FOB (millions of US dollars),,"499,202"
13,Central America,2019,Exports FOB (millions of US dollars),,"499,463"
13,Central America,2020,Exports FOB (millions of US dollars),,"456,853"
13,Central America,1995,Balance imports/exports (millions of US dollars),,-17
13,Central America,2005,Balance imports/exports (millions of US dollars),,"-26,340"
13,Central America,2010,Balance imports/exports (millions of US dollars),,"-29,642"
13,Central America,2015,Balance imports/exports (millions of US dollars),,"-37,441"
13,Central America,2018,Balance imports/exports (millions of US dollars),,"-53,318"
13,Central America,2019,Balance imports/exports (millions of US dollars),,"-33,371"
13,Central America,2020,Balance imports/exports (millions of US dollars),,"8,582"
5,South America,1995,Imports CIF (millions of US dollars),,"134,476"
5,South America,2005,Imports CIF (millions of US dollars),,"211,711"
5,South America,2010,Imports CIF (millions of US dollars),,"448,308"
5,South America,2015,Imports CIF (millions of US dollars),,"480,665"
5,South America,2018,Imports CIF (millions of US dollars),,"488,693"
5,South America,2019,Imports CIF (millions of US dollars),,"464,241"
5,South America,2020,Imports CIF (millions of US dollars),,"379,258"
5,South America,1995,Exports FOB (millions of US dollars),,"127,771"
5,South America,2005,Exports FOB (millions of US dollars),,"315,113"
5,South America,2010,Exports FOB (millions of US dollars),,"524,502"
5,South America,2015,Exports FOB (millions of US dollars),,"462,776"
5,South America,2018,Exports FOB (millions of US dollars),,"515,531"
5,South America,2019,Exports FOB (millions of US dollars),,"494,941"
5,South America,2020,Exports FOB (millions of US dollars),,"439,768"
5,South America,1995,Balance imports/exports (millions of US dollars),,"-6,706"
5,South America,2005,Balance imports/exports (millions of US dollars),,"103,402"
5,South America,2010,Balance imports/exports (millions of US dollars),,"76,194"
5,South America,2015,Balance imports/exports (millions of US dollars),,"-17,888"
5,South America,2018,Balance imports/exports (millions of US dollars),,"26,837"
5,South America,2019,Balance imports/exports (millions of US dollars),,"30,701"
5,South America,2020,Balance imports/exports (millions of US dollars),,"60,511"
142,Asia,1995,Imports CIF (millions of US dollars),,"1,500,432"
142,Asia,2005,Imports CIF (millions of US dollars),,"3,172,210"
142,Asia,2010,Imports CIF (millions of US dollars),,"5,459,724"
142,Asia,2015,Imports CIF (millions of US dollars),,"6,213,020"
142,Asia,2018,Imports CIF (millions of US dollars),,"7,476,102"
142,Asia,2019,Imports CIF (millions of US dollars),,"7,189,403"
142,Asia,2020,Imports CIF (millions of US dollars),,"6,694,312"
142,Asia,1995,Exports FOB (millions of US dollars),,"1,557,385"
142,Asia,2005,Exports FOB (millions of US dollars),,"3,569,857"
142,Asia,2010,Exports FOB (millions of US dollars),,"5,896,164"
142,Asia,2015,Exports FOB (millions of US dollars),,"6,827,734"
142,Asia,2018,Exports FOB (millions of US dollars),,"7,952,296"
142,Asia,2019,Exports FOB (millions of US dollars),,"7,699,059"
142,Asia,2020,Exports FOB (millions of US dollars),,"7,418,423"
